ID,Alloy,Diff. Lattice Constants,Diff. Melting Point,Mixing Enthalpy,Lattice Constants,Lambda,Diff. in atomic radii,Omega,Melting Temp.,Diff. Electronegativity Allen,Diff. Electronegativity Pauling,Diff. Shear modulus,Avg shear modulus,Mixing Entropy,Valence electron,YS (MPa)
1,CoFeNiSi0.75,1.055487599,44.66304411,-20.89171828,3.458902992,12365.52187,0.030453662,962.0652443,1752.61769,0.042160483,0.031383117,0.108399942,75.73413,11.46810064,8.00009,1301
2,Al0.75CoFeNi,0.583340282,340.1653332,-18.40336718,3.182622992,3378.840617,0.058258848,998.2349588,1601.91169,0.096576617,0.11086158,0.334610101,68.97413,11.46810064,7.80009,794
3,AlCoCrFeNi,0.547352688,408.517377,-18.93648,3.17142,4008.389723,0.057778896,1190.078167,1684.094,0.105878421,0.120565335,0.375622748,76.1,13.38161136,7.2,1251
4,AlC0.1CoCrFeNi,0.555328048,614.520156,-22.16618769,3.157579208,1146.418173,0.110198387,1084.069454,1726.054788,0.200369992,0.204579646,0.512705511,74.837877,13.92174058,7.13732,957
5,AlC0.2CoCrFeNi,0.557150757,652.2820807,-25.13458534,3.144244341,1004.453102,0.118993143,999.5033873,1766.373166,0.216354457,0.21974393,0.515326265,73.623937,14.22242122,7.077,906
6,AlC0.3CoCrFeNi,0.558736063,687.2739188,-27.8650339,3.131380028,895.405625,0.126958999,934.97927,1805.15608,0.230950152,0.233624142,0.518211026,72.45496,14.43267391,7.01888,867
7,AlC0.4CoCrFeNi,0.560118358,719.9150354,-30.37955611,3.119084829,809.2594688,0.134252673,884.6532013,1842.556449,0.24441091,0.246445369,0.521318045,71.331414,14.5859149,6.96312,1056
8,AlC0.5CoCrFeNi,0.561302089,750.5123513,-32.69374477,3.107140162,739.4630265,0.140984587,844.5392876,1878.558785,0.256916391,0.258368703,0.524589068,70.246157,14.69805051,6.90916,1060
9,AlCCoCrFeNi,0.564955604,880.0527987,-41.79389393,3.053577737,524.3183716,0.168562641,727.3892062,2040.619145,0.308957464,0.308043482,0.542381053,65.367974,14.89764879,6.6668,1251
10,AlC1.5CoCrFeNi,0.56591407,982.0646942,-47.81399984,3.008232115,411.9746092,0.189442898,673.4024211,2177.72302,0.349225399,0.346476298,0.560701849,61.239934,14.78519672,6.46168,1255
11,AlCoCrFeMo0.1Ni,0.543583984,455.8695034,-18.66913533,3.170972838,4008.052956,0.058935917,1273.578589,1707.876318,0.116527547,0.157613091,0.369894275,77.071456,13.92174058,7.17654,1804
12,AlCoCrFeMo0.2Ni,0.537984283,476.3595075,-18.40788021,3.170512521,4150.524937,0.058537646,1337.201197,1730.720746,0.120762954,0.159031066,0.372473875,78.004531,14.22242122,7.15392,2456
13,AlCoCrFeMo0.3Ni,0.532587653,494.7809991,-18.15247777,3.170037828,4262.002733,0.058192436,1393.527261,1752.68788,0.124607073,0.16083024,0.374508381,78.9017,14.43267391,7.13208,2649
14,AlCoCrFeMo0.4Ni,0.527393969,511.4572634,-17.90425263,3.169674639,4351.286745,0.057897257,1445.123739,1773.893559,0.128115637,0.16295544,0.376085056,79.767987,14.5859149,7.11126,2670
15,AlCoCrFeMo0.5Ni,0.522374654,526.6270522,-17.66078296,3.169231692,4422.995479,0.057646324,1493.280042,1794.285215,0.131329592,0.165350444,0.377259611,80.600806,14.69805051,7.09098,2757
16,AlCoCrFeNb0.1Ni,0.546616004,442.2402086,-19.35845926,3.173981012,3554.151659,0.06258623,1226.169497,1705.013258,0.122857008,0.122361524,0.517895952,75.343815,13.92174058,7.15693,1641
17,AlCoCrFeNb0.25Ni,0.537772475,465.9407247,-19.90602978,3.177625456,3622.885978,0.062905802,1249.460126,1734.886126,0.131531056,0.123913285,0.493029958,74.26339,14.33626687,7.09538,1959
18,AlCoCrFeNb0.5Ni,0.524400874,498.2968153,-20.62401578,3.183177286,3615.557483,0.063759108,1269.268306,1781.012355,0.143511652,0.125948277,0.461936409,72.591635,14.69805051,7.00007,2473
19,AlCoCrFeNiSi0.2,0.79201686,407.7043597,-21.31708869,3.258351315,3699.968292,0.06199944,1123.686432,1684.222606,0.115730696,0.126059041,0.439817197,75.481555,14.22242122,7.077,1265
20,AlCoCrFeNiSi0.4,0.840246456,396.90063,-23.29965171,3.338843112,3648.349976,0.063229332,1054.422742,1684.342929,0.114001646,0.123254291,0.414437636,74.908995,14.5859149,6.96312,1481
21,AlCoCrFeNiSi0.6,0.887857511,387.6151187,-24.94816691,3.413468973,3573.562379,0.064308725,997.8029675,1684.388508,0.113140035,0.121227789,0.394006317,74.374285,14.77886773,6.85708,1834
22,AlCoCrFeNiSi0.8,0.934270084,379.6767383,-26.31847256,3.483006648,3491.503839,0.065263444,951.8155921,1684.461143,0.11300039,0.119870848,0.377665272,73.877805,14.87142203,6.75848,2179
23,AlCoCrFeNiSi,0.979154803,372.9289394,-27.45609821,3.54807096,3408.280468,0.06611366,914.0686377,1684.612025,0.113450707,0.119083329,0.364706438,73.418135,14.89764879,6.6668,1110
24,AlCoCrFeNiTi0.5,0.525722741,396.4481385,-24.00676112,3.15139515,3257.051218,0.067176531,1045.389831,1707.466165,0.14802916,0.133776107,0.390447553,73.328006,14.69805051,6.90916,2260
25,CoCrFeMnNiV0.5,2.316800328,231.9660688,-6.134006976,4.042785882,13537.67706,0.03295018,4399.172434,1835.92745,0.105353142,0.137595133,0.215726636,83.119013,14.69805051,7.72735,620
26,CoCrFeMnNiV0.75,2.275236671,237.6492601,-6.86441361,3.998635491,13686.86233,0.032945177,4005.730041,1850.96215,0.113285833,0.13691033,0.233570682,81.533239,14.85551058,7.60855,740
27,CoCrFeMnNiV1.0,2.235769681,241.9248701,-7.455298203,3.958429167,13779.22233,0.032881113,3726.502539,1864.87063,0.119362922,0.136097732,0.248500351,80.084935,14.89764879,7.50015,1660
28,AlCrFeNi,0.486395801,454.3214626,-21.01725,3.3375,2941.286458,0.062600263,912.0878804,1663.1175,0.10880803,0.122142335,0.425972996,74.625,11.52629264,6.75,1406
29,AlCrFeNiMo0.2,0.476408936,515.2849275,-20.22221476,3.32849514,3265.551721,0.062040686,1070.234711,1721.860627,0.120326914,0.147443765,0.426553725,77.053922,12.56926132,6.71442,1487
30,AlCrFeNiMo0.5,0.462467506,577.5758113,-19.1280125,3.31630017,3518.865384,0.061121468,1237.125404,1800.086443,0.132282518,0.172224945,0.423258379,80.288086,13.14589657,6.6666,1749
31,AlCrFeNiMo0.8,0.449653153,618.9651615,-18.1416652,3.30571599,3689.799271,0.060153605,1375.187338,1868.585395,0.140266631,0.188403248,0.417268025,83.120257,13.3513771,6.62493,1513
32,CoCrCuFeNiTi0.5,0.407660875,259.5089647,-3.581691467,3.072376178,6038.976826,0.049334211,7323.445728,1784.612391,0.150561687,0.1266615,0.293628457,77.36441,14.69805051,8.36372,700
33,CoCrCuFeNiTi,0.387462653,247.032706,-8.272441999,3.062277911,3980.920947,0.06117403,3237.371888,1797.664286,0.174516947,0.138765776,0.313003583,74.718161,14.89764879,8.00016,1272
34,Al0.25CoCrCu0.75FeNiTi,0.456293625,302.1157435,-13.22125192,3.080387693,3692.930837,0.065154596,2110.594159,1779.983705,0.175319881,0.142634657,0.376907685,73.793087,15.67693963,7.6668,750
35,AlCoCrCuFeNi,0.526292614,392.256328,-10.40930525,3.24539824,5341.401583,0.052811834,2332.45952,1629.739261,0.102731121,0.119083329,0.39257234,71.484763,14.89764879,7.83349,1303
36,AlCoCrCuFeMnNi,2.042096995,365.2192071,-10.61340412,4.05500967,6023.583983,0.051826647,2460.308067,1613.923706,0.095426318,0.140379901,0.359799538,72.630024,16.17935449,7.71444,1005
37,AlCoCrCuFeNiTi,0.498033565,379.1441488,-18.68540045,3.203321208,3521.794071,0.06777954,1449.669076,1674.210626,0.166968243,0.142572568,0.405900302,67.78707,16.17935449,7.28586,1234
38,AlCoCrCuFeNiV,0.493044285,411.5468317,-12.77038835,3.21463572,6592.150005,0.049541261,2164.930387,1708.782746,0.127385795,0.124999209,0.40313202,67.944216,16.17935449,7.42872,1469
39,Al2CoCrCuFeNi,0.604270677,453.2659596,-16.94998599,3.360240995,3240.895396,0.066963857,1312.028861,1530.265556,0.114889132,0.134110477,0.43101854,65.015324,14.5326873,7.14297,1620
40,AlCoFeNi,0.594253588,362.9837413,-21.37275,3.236775,2962.698806,0.062373637,841.3690734,1560.1175,0.102282391,0.117553179,0.350875729,66.3,11.52629264,7.5,964
41,Al1.125CuFe0.75NiTi1.1,0.446986098,382.7715602,-26.74751031,3.435279987,2438.16922,0.073868203,762.7643117,1533.538959,0.193310884,0.1592797,0.357305326,53.223616,13.30389826,6.99004,980
42,Al22.5Cu20Fe15Ni20Ti2,0.487439012,416.5827532,-16.3696847,3.557115911,2867.319772,0.065041746,1060.385394,1431.012878,0.15331844,0.146064773,0.377301165,55.140808,12.12999186,7.74211,980
43,AlCuFeNiTi,0.440409957,365.9664975,-23.94352,3.40114,2608.637723,0.071622145,868.6418159,1554.248,0.186956252,0.153544782,0.367663912,55.44,13.38161136,7.2,1074
44,TaNbHfZrTi,0.129156098,476.4149452,2.644,3.19618,5364.617133,0.049944175,12769.21538,2523,0.086810138,0.118253964,0.259342454,48.66,13.38161136,4.4,929
45,Al0.25MoNbTiV,0.255899254,521.2709414,-8.473124009,3.162422768,7929.323854,0.040033623,3530.137777,2353.690005,0.068116098,0.243214426,0.581955154,61.63415,12.70825601,4.88226,1250
46,Al0.25NbTaTiV,0.261999586,632.6095056,-7.152278955,3.198728015,8652.528331,0.038324056,4346.783007,2446.394265,0.083064239,0.050175681,0.262565848,48.363794,12.70825601,4.64697,1330
47,Al0.2MoTaTiV,0.238440803,633.3434222,-7.390272926,3.1522059,7747.71926,0.040278004,4250.707393,2499.262841,0.082490156,0.259895303,0.476152142,69.606154,12.56926132,4.90486,1021
48,Al0.3HfNbTaTiZr,0.23370499,590.7930056,-6.437977752,3.244477912,5826.736982,0.049769204,5454.378303,2433.032602,0.1078477,0.120382563,0.280884454,47.388764,14.43267391,4.32076,1188
49,Al0.3NbTa0.8Ti1.4V0.2Zr1.3,0.256783285,603.4806656,-7.3945136,3.219002,3959.007558,0.058316518,4217.838839,2316.4882,0.084723902,0.109815846,0.303991096,43.88,13.46385734,4.34,1965
50,Al0.4Hf0.6NbTaTiZr,0.265226561,643.1417544,-9.6782144,3.264428,5922.4948,0.049481516,3591.693619,2397.1976,0.106290274,0.118298605,0.290004517,46.276,14.50075743,4.32,1841
51,Al0.5CrNbTi2V0.5,0.337461391,481.6502527,-14.92672,3.13035,3376.097601,0.060184916,1699.200067,2074.047,0.113031013,0.046861498,0.53854344,56.09,12.22898209,4.6,1240
52,Al0.5HfNbTaTiZr,0.274488015,644.322891,-11.42164992,3.273787283,5975.346988,0.049596189,3060.820714,2378.521058,0.117683802,0.121342961,0.29291915,46.618648,14.69805051,4.27277,1302
53,Al0.5MoNbTiV,0.321139374,602.055909,-13.18274869,3.211734549,8501.210573,0.039323731,2268.448072,2274.807252,0.075200753,0.237833695,0.599851336,59.66607,13.14589657,4.77773,1625
54,Al0.5NbTa0.8Ti1.5V0.2Zr,0.306841347,661.6274288,-12.6162992,3.246078,4432.203386,0.055756291,2473.644738,2264.967,0.095486805,0.103632041,0.312214339,43.74,13.77867409,4.3,2035
55,Al0.5NbTaTiV,0.32063062,705.7440357,-12.70038796,3.246023095,9410.897526,0.037374861,2445.229681,2362.361932,0.091315844,0.04961556,0.283127899,47.132862,13.14589657,4.55551,1012
56,Al0.6MoTaTiV,0.340350775,748.9097163,-14.84278732,3.230138334,8648.852367,0.039129279,2108.232025,2363.043392,0.092867154,0.249709801,0.515684085,65.829935,13.24226193,4.73909,962
