id,zipcode,lot-len,lot-width,lot-area,house-area,garden-size,balcony,x-coor,y-coor,buildyear,bathrooms,taxvalue,retailvalue,energy-eff,monument
100426,3528,11.1,5,55.5,112.5,10.5,2,2112,5113,1932,1,494000,670000,0,1
100871,3528,13.6,5,68,112.5,8,0,2355,5218,1945,1,504000,675000,0,1
100936,3800,16.6,6.7,111.2,150.75,44.2,2,2656,5200,1946,1,692000,869000,0,1
100970,3800,18.6,6,111.6,108,39.6,2,2856,5201,1946,1,521000,628000,0,1
101191,3800,19.6,6,117.6,108,45.6,1,2962,5266,1950,1,526000,610000,0,1
101487,3528,14.2,9.3,132.1,125.55,48.4,2,2416,5355,1960,1,608000,818000,0,1
101532,3800,16.7,10.2,170.3,229.5,68.3,2,2666,5365,1959,1,1054000,1297000,0,1
101765,3800,18,9.5,171,128.25,85.5,1,2804,5414,1959,2,650000,792000,1,1
101812,3528,10.6,9.3,98.6,167.4,9.3,0,2060,5463,1966,1,748000,947000,0,1
102152,3800,17.7,8.9,157.5,160.2,68.5,1,2768,5517,1974,1,767000,908000,0,1
102397,3800,19.6,8.4,164.6,113.4,89,1,2964,5557,1976,1,585000,660000,0,0
102457,3525,12.6,9,113.4,202.5,32.4,1,2256,5600,1975,2,901000,1101000,1,1
102796,3500,19.5,9.8,191.1,176.4,83.3,2,2950,5657,1984,2,858000,939000,1,1
102855,3525,12.6,6.6,83.2,148.5,6.6,0,2261,5711,1994,1,661000,781000,0,0
102865,3525,13.1,10.8,141.5,243,11.9,1,2307,5701,1984,2,1085000,1288000,1,1
103086,3525,14,8.7,121.8,156.6,17.4,2,2403,5762,1989,1,724000,849000,0,0
103176,3500,18.7,7.3,136.5,131.4,48.9,1,2865,5768,1999,2,635000,691000,1,0
103248,3525,12.2,7.4,90.3,133.2,8.9,0,2216,5815,1998,1,605000,700000,0,0
103765,3500,18.2,7.4,134.7,166.5,60.7,1,2819,5914,2007,1,774000,811000,1,0
103774,3500,18.7,8.3,155.2,186.75,55.6,1,2866,5908,2006,1,871000,905000,1,0
103975,3500,18.5,6.8,125.8,153,51,2,2852,5965,2012,2,713000,730000,1,0
